objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"11 nimmt!","63706","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","64249351","5.87571","6.30041","1.2119","3150","2259","thing","11 nimmt!","2","7","30","30","30","2010","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2010","German edition"
"12 Thieves","22278","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247263","5.9425","6.44161","1.8636","2768","2037","thing","12 Thieves","2","4","45","45","45","2017","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Queen Games","English; German","2017","English/German edition 2017"
"13 Minutes: The Cuban Missile Crisis, 1962","203828","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70357113","5.88958","6.42254","2.0227","3051","2557","thing","13 Minutes: The Cuban Missile Crisis, 1962","2","2","13","13","13","2017","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"5 Second Rule","86073","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247507","5.44954","5.49804","1.1207","20326","3855","thing","5 Second Rule","3","6","30","30","30","2010","3,4,5,6","5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"5-Minute Dungeon","207830","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","64248811","6.6653","7.0269","1.118","787","13270","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","KOSMOS","German","2017","KOSMOS German edition"
"5-Minute Dungeon: Der Fluch des Overlords","253170","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248820","6.05843","7.39895","1.2857","0","3549","thing","5-Minute Dungeon: Curses! Foiled Again!","2","6","30","30","5","2019","3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","KOSMOS","German","2019","German edition"
"6 nimmt! Brettspiel","286533","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309858","5.56725","6.67159","1","8857","161","thing","6 nimmt! Brettspiel","2","6","25","25","25","2019","2,4","","","","","","","","","standalone","","","","",""
"7 Wonders","68448","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247056","7.64242","7.74411","2.3268","72","115790","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Abenteuer Menschheit","4394","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247232","6.1164","6.58061","2.5144","2008","3642","thing","The Settlers of the Stone Age","3","4","120","120","90","2002","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Activity","8790","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247497","5.61477","5.93041","0","6691","1524","thing","Activity","3","16","45","45","45","1990","4,6,8,9,10,12","6,8","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Al Cabohne","980","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249424","5.68904","5.9697","0","5074","2797","thing","Al Cabohne","1","2","60","60","60","2000","1,2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Alhambra: Family Box","140709","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247015","5.93135","7.28532","0","0","1148","thing","Alhambra: Family Box","2","6","45","45","45","2011","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Queen Games","German","2011","German edition"
"Alles Futsch","617","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248769","5.49337","5.29032","0","18111","76","thing","Alles Futsch","2","5","45","45","45","1998","4,5","5","","","","","","","","standalone","","","","",""
"Anno 1701: Das Brettspiel","31897","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247216","5.694","6.74225","2.3","4986","508","thing","Anno 1701: Das Brettspiel","3","4","120","120","60","2007","3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","KOSMOS","German","2007","German edition"
"Arkham Horror","15987","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","64249023","7.06192","7.25501","3.5771","338","49124","thing","Arkham Horror","1","8","240","240","120","2006","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Heidelberger Spieleverlag","German","2006","German edition"
"Arkham Horror: Das Grauen von Dunwich Erweiterung","21059","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840548","7.2606","7.80097","3.4882","0","15308","thing","Arkham Horror: Dunwich Horror Expansion","1","8","240","240","240","2006","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Arkham Horror: Die Schwarze Ziege der Wälder","37008","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249040","6.6672","7.48813","3.1418","0","8462","thing","Arkham Horror: The Black Goat of the Woods Expansion","1","8","240","240","120","2008","2,3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Armageddon","207208","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","64247251","5.76955","6.58779","2.9583","4039","1369","thing","Armageddon","3","4","90","90","90","2016","3,4","4","12+","No necessary in-game text","","","","","","standalone","","Queen Games","English; German","2016","English/German edition"
"Armata Strigoi","284751","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","66988099","5.55123","6.65229","2.2222","10019","294","thing","Armata Strigoi","2","5","90","90","60","2019","2,3,4,5","","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Arschlochkind","291236","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348822","5.51429","6.10169","1.5","15050","174","thing","Arschlochkind","3","6","90","90","60","2019","","","","","","","","","","standalone","","","","",""
"Asterix & Obelix: Mission Zaubertrank!","172510","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66340371","5.5056","5.6975","0","16482","122","thing","Asterix & Obelix: Mission Zaubertrank!","2","4","40","40","20","2017","","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
